ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000858.SZ,20200821,220.0,220.98,216.44,218.4,216.44,1.96,0.9056,157318.61,3438178.399
000858.SZ,20200820,220.0,220.92,216.0,216.44,222.2,-5.76,-2.5923,184906.63,4022580.052
000858.SZ,20200819,220.47,225.96,217.27,222.2,220.57,1.63,0.739,238472.68,5300628.768
000858.SZ,20200818,219.99,223.0,218.12,220.57,219.99,0.58,0.2636,190382.49,4208955.657
000858.SZ,20200817,214.5,222.0,214.5,219.99,212.9,7.09,3.3302,315155.99,6913069.145
000858.SZ,20200814,206.3,213.3,206.22,212.9,206.9,6.0,2.9,244314.91,5144549.732
000858.SZ,20200813,208.0,210.0,205.5,206.9,206.47,0.43,0.2083,123209.69,2555092.632
000858.SZ,20200812,207.92,209.88,203.04,206.47,209.0,-2.53,-1.2105,180249.93,3701984.354
000858.SZ,20200811,207.0,213.35,207.0,209.0,205.94,3.06,1.4859,250090.77,5285963.734
000858.SZ,20200810,207.26,208.88,202.94,205.94,207.26,-1.32,-0.6369,191521.0,3941811.351
000858.SZ,20200807,210.0,213.0,203.18,207.26,211.02,-3.76,-1.7818,287235.84,5960012.764
000858.SZ,20200806,217.48,218.54,209.66,211.02,217.48,-6.46,-2.9704,323043.59,6855967.077
000858.SZ,20200805,215.6,217.76,213.0,217.48,215.8,1.68,0.7785,186712.38,4024536.334
000858.SZ,20200804,217.5,219.8,214.0,215.8,217.72,-1.92,-0.8819,206769.41,4483369.686
000858.SZ,20200803,218.18,219.93,215.2,217.72,217.5,0.22,0.1011,201453.55,4369803.363
000858.SZ,20200731,216.51,221.01,214.28,217.5,216.32,1.18,0.5455,262317.82,5707639.443
000858.SZ,20200730,214.0,218.05,213.0,216.32,214.98,1.34,0.6233,253225.64,5483434.28
000858.SZ,20200729,214.35,215.48,209.01,214.98,214.0,0.98,0.4579,301364.14,6417584.055
000858.SZ,20200728,205.89,216.94,204.67,214.0,204.1,9.9,4.8506,384497.12,8143034.019
000858.SZ,20200727,203.39,206.8,201.41,204.1,201.39,2.71,1.3456,246346.88,5038945.709
000858.SZ,20200724,208.0,208.95,198.0,201.39,210.07,-8.68,-4.132,405386.26,8233915.251
000858.SZ,20200723,207.3,211.9,205.6,210.07,208.9,1.17,0.5601,265413.11,5547862.012
000858.SZ,20200722,204.25,212.87,202.75,208.9,205.58,3.32,1.6149,280663.23,5873887.494
000858.SZ,20200721,201.0,208.9,198.8,205.58,201.68,3.9,1.9338,317858.76,6514435.742
000858.SZ,20200720,205.5,208.5,191.01,201.68,205.39,-3.71,-1.8063,442906.56,8808311.369
000858.SZ,20200717,195.0,209.7,195.0,205.39,201.56,3.83,1.9002,529766.77,10785868.982
000858.SZ,20200716,221.0,221.05,201.56,201.56,223.95,-22.39,-9.9978,705736.69,14817949.981
000858.SZ,20200715,219.0,226.0,217.6,223.95,220.9,3.05,1.3807,371699.54,8289624.15
000858.SZ,20200714,218.3,225.33,212.03,220.9,218.2,2.7,1.2374,438733.08,9589876.574
000858.SZ,20200713,207.0,225.0,207.0,218.2,207.0,11.2,5.4106,488807.22,10648696.886
000858.SZ,20200710,203.0,211.8,200.8,207.0,203.72,3.28,1.6101,335475.81,6923294.758
000858.SZ,20200709,203.39,205.36,201.5,203.72,203.36,0.36,0.177,295243.49,5988999.45
000858.SZ,20200708,201.5,205.8,199.0,203.36,201.89,1.47,0.7281,292322.55,5907018.139
000858.SZ,20200707,192.78,206.38,190.32,201.89,192.82,9.07,4.7039,384111.25,7693352.358
000858.SZ,20200706,188.71,196.0,185.56,192.82,188.72,4.1,2.1725,328431.07,6291466.679
000858.SZ,20200703,189.99,190.5,182.5,188.72,189.49,-0.77,-0.4064,308159.41,5745184.556
000858.SZ,20200702,180.0,192.34,179.88,189.49,181.98,7.51,4.1268,348870.21,6549218.075
000858.SZ,20200701,171.12,185.1,171.12,181.98,171.12,10.86,6.3464,271818.36,4886748.745
000858.SZ,20200630,168.54,171.67,168.5,171.12,167.5,3.62,2.1612,189897.62,3238678.111
000858.SZ,20200629,166.61,168.5,165.8,167.5,168.61,-1.11,-0.6583,199935.55,3331811.63
000858.SZ,20200624,168.41,171.3,167.0,168.61,167.98,0.63,0.375,187986.02,3172425.486
000858.SZ,20200623,163.0,168.4,162.08,167.98,163.0,4.98,3.0552,265324.77,4413501.33
000858.SZ,20200622,164.0,164.0,161.0,163.0,163.37,-0.37,-0.2265,216312.28,3513415.729
000858.SZ,20200619,158.5,166.5,158.43,165.57,158.36,7.21,4.5529,387028.09,6342808.631
000858.SZ,20200618,156.6,158.58,155.96,158.36,155.88,2.48,1.591,199490.02,3145346.589
000858.SZ,20200617,157.26,157.5,153.9,155.88,157.68,-1.8,-1.1416,232423.29,3610097.414
000858.SZ,20200616,157.1,159.26,156.4,157.68,157.0,0.68,0.4331,259846.52,4095546.267
000858.SZ,20200615,159.0,160.88,156.5,157.0,161.5,-4.5,-2.7864,266219.61,4206860.399
000858.SZ,20200612,157.0,161.88,156.1,161.5,160.07,1.43,0.8934,176476.13,2822869.416
000858.SZ,20200611,161.8,162.74,157.95,160.07,162.54,-2.47,-1.5196,199460.97,3195703.175
000858.SZ,20200610,162.65,163.78,161.08,162.54,162.61,-0.07,-0.043,149481.46,2428166.146
000858.SZ,20200609,160.58,163.0,159.01,162.61,160.61,2.0,1.2453,161118.88,2610701.054
000858.SZ,20200608,159.5,164.95,159.3,160.61,160.09,0.52,0.3248,222551.1,3596734.091
000858.SZ,20200605,159.11,160.68,157.6,160.09,158.85,1.24,0.7806,159859.06,2547709.184
000858.SZ,20200604,158.03,159.98,157.0,158.85,158.24,0.61,0.3855,136317.55,2166142.874
000858.SZ,20200603,160.86,161.76,156.68,158.24,158.77,-0.53,-0.3338,252759.33,4004118.585
000858.SZ,20200602,158.39,163.65,158.02,158.77,158.59,0.18,0.1135,291585.86,4669324.668
000858.SZ,20200601,150.06,160.18,150.06,158.59,148.2,10.39,7.0108,357843.58,5624344.618
000858.SZ,20200529,145.0,148.59,144.83,148.2,146.16,2.04,1.3957,163217.2,2408655.795
000858.SZ,20200528,146.15,148.02,144.5,146.16,146.16,0.0,0.0,148184.04,2166223.144
000858.SZ,20200527,147.82,148.4,145.68,146.16,147.81,-1.65,-1.1163,145963.02,2143082.94
000858.SZ,20200526,147.03,149.12,146.15,147.81,147.03,0.78,0.5305,165119.25,2436906.02
000858.SZ,20200525,144.01,147.4,141.1,147.03,144.25,2.78,1.9272,243559.91,3540747.465
000858.SZ,20200522,150.76,150.78,143.65,144.25,151.68,-7.43,-4.8985,383526.39,5597327.855
000858.SZ,20200521,151.86,153.53,151.03,151.68,150.85,0.83,0.5502,170921.5,2602103.042
000858.SZ,20200520,152.5,152.98,150.51,150.85,151.42,-0.57,-0.3764,170412.14,2580358.165
000858.SZ,20200519,153.33,153.49,150.37,151.42,151.19,0.23,0.1521,176505.56,2669709.609
000858.SZ,20200518,145.0,152.46,144.6,151.19,145.22,5.97,4.111,248810.15,3718097.608
000858.SZ,20200515,147.5,147.99,144.08,145.22,146.3,-1.08,-0.7382,160644.47,2338474.671
000858.SZ,20200514,145.9,147.0,144.4,146.3,146.0,0.3,0.2055,153612.61,2244204.771
000858.SZ,20200513,142.9,146.21,142.3,146.0,142.9,3.1,2.1693,196350.29,2845747.547
000858.SZ,20200512,141.0,143.79,140.89,142.9,141.85,1.05,0.7402,151844.89,2167669.765
000858.SZ,20200511,143.22,145.1,141.0,141.85,142.9,-1.05,-0.7348,236819.91,3384838.039
000858.SZ,20200508,142.65,145.5,140.93,142.9,141.91,0.99,0.6976,243266.98,3478295.31
000858.SZ,20200507,138.38,142.0,137.37,141.91,138.21,3.7,2.6771,277961.78,3911603.34
000858.SZ,20200506,134.5,139.05,133.98,138.21,135.77,2.44,1.7972,251044.81,3442757.066
000858.SZ,20200430,135.5,139.2,134.02,135.77,135.5,0.27,0.1993,228640.55,3121490.868
000858.SZ,20200429,139.0,140.15,134.0,135.5,139.0,-3.5,-2.518,291832.04,3980521.441
000858.SZ,20200428,136.0,141.22,134.51,139.0,132.7,6.3,4.7476,420773.45,5811722.42
000858.SZ,20200427,132.51,133.62,130.38,132.7,131.4,1.3,0.9893,159342.44,2110526.723
000858.SZ,20200424,131.24,133.29,129.37,131.4,131.09,0.31,0.2365,167733.24,2215246.722
000858.SZ,20200423,131.2,134.3,130.8,131.09,130.3,0.79,0.6063,213318.7,2822832.124
000858.SZ,20200422,126.54,130.99,125.42,130.3,126.47,3.83,3.0284,265984.77,3436601.399
000858.SZ,20200421,128.08,128.95,125.08,126.47,129.31,-2.84,-2.1963,205523.72,2596092.234
000858.SZ,20200420,129.92,130.48,128.88,129.31,128.82,0.49,0.3804,132188.34,1710863.422
000858.SZ,20200417,127.17,129.7,126.74,128.82,126.1,2.72,2.157,234710.89,3022344.869
000858.SZ,20200416,127.01,127.8,125.52,126.1,127.91,-1.81,-1.4151,188254.35,2379554.855
000858.SZ,20200415,128.47,130.28,127.21,127.91,128.45,-0.54,-0.4204,162967.18,2095661.173
000858.SZ,20200414,126.61,128.88,125.2,128.45,125.0,3.45,2.76,194618.88,2481573.352
000858.SZ,20200413,125.15,127.02,124.2,125.0,126.52,-1.52,-1.2014,146060.18,1831925.095
000858.SZ,20200410,124.98,128.8,124.2,126.52,124.98,1.54,1.2322,198960.89,2526071.157
000858.SZ,20200409,126.65,127.6,123.01,124.98,125.28,-0.3,-0.2395,158796.2,1985606.241
000858.SZ,20200408,124.14,125.99,123.43,125.28,124.14,1.14,0.9183,201133.62,2515223.465
000858.SZ,20200407,120.6,124.58,120.6,124.14,117.52,6.62,5.6331,294511.5,3627761.364
000858.SZ,20200403,117.7,119.47,116.8,117.52,117.19,0.33,0.2816,175805.86,2076905.527
000858.SZ,20200402,114.0,117.19,113.52,117.19,115.0,2.19,1.9043,191537.39,2218330.786
000858.SZ,20200401,116.0,116.99,114.44,115.0,115.2,-0.2,-0.1736,175968.52,2033698.724
000858.SZ,20200331,115.0,116.59,114.06,115.2,113.23,1.97,1.7398,188496.21,2179898.621
000858.SZ,20200330,112.82,114.02,111.7,113.23,115.81,-2.58,-2.2278,205805.83,2321514.404
000858.SZ,20200327,115.6,117.8,115.6,115.81,113.89,1.92,1.6858,235434.96,2745616.755
000858.SZ,20200326,112.98,116.3,111.9,113.89,114.0,-0.11,-0.0965,208801.23,2397709.906
000858.SZ,20200325,113.1,114.96,111.84,114.0,109.05,4.95,4.5392,309473.33,3508691.59
000858.SZ,20200324,107.08,109.89,106.04,109.05,104.51,4.54,4.3441,356363.42,3859693.788
000858.SZ,20200323,104.0,106.5,103.04,104.51,108.51,-4.0,-3.6863,328265.4,3443583.082
000858.SZ,20200320,104.32,109.66,104.21,108.51,102.11,6.4,6.2678,422063.9,4484741.875
000858.SZ,20200319,105.8,107.0,98.63,102.11,107.59,-5.48,-5.0934,601697.89,6133825.332
000858.SZ,20200318,113.2,115.97,106.69,107.59,112.36,-4.77,-4.2453,404422.59,4528147.0
000858.SZ,20200317,114.5,117.58,108.58,112.36,115.5,-3.14,-2.7186,352979.54,3975112.228
000858.SZ,20200316,121.4,122.4,114.41,115.5,122.6,-7.1,-5.7912,370242.47,4379489.484
000858.SZ,20200313,120.0,125.22,118.88,122.6,126.04,-3.44,-2.7293,350886.98,4280415.922
000858.SZ,20200312,126.88,128.11,125.86,126.04,129.9,-3.86,-2.9715,252660.0,3199005.135
000858.SZ,20200311,132.5,132.8,129.5,129.9,130.72,-0.82,-0.6273,187634.87,2452609.914
000858.SZ,20200310,126.3,131.63,126.2,130.72,126.3,4.42,3.4996,310772.21,4017374.185
000858.SZ,20200309,128.0,128.25,126.04,126.3,130.07,-3.77,-2.8984,244541.58,3106158.207
000858.SZ,20200306,132.0,134.88,130.0,130.07,133.2,-3.13,-2.3498,291658.22,3845033.468
000858.SZ,20200305,126.55,134.88,126.0,133.2,125.27,7.93,6.3303,565619.87,7399037.627
000858.SZ,20200304,124.0,125.93,124.0,125.27,124.37,0.9,0.7236,197575.1,2471690.889
000858.SZ,20200303,123.7,125.88,123.7,124.37,122.65,1.72,1.4024,230923.24,2878896.36
000858.SZ,20200302,120.1,123.6,119.6,122.65,120.6,2.05,1.6998,269822.38,3287615.181
000858.SZ,20200228,124.0,124.03,119.0,120.6,126.3,-5.7,-4.5131,366012.11,4445668.089
000858.SZ,20200227,124.8,127.75,124.5,126.3,124.1,2.2,1.7728,235731.67,2986686.525
000858.SZ,20200226,123.83,126.42,123.0,124.1,125.3,-1.2,-0.9577,214178.66,2662201.89
000858.SZ,20200225,124.8,127.0,123.86,125.3,127.1,-1.8,-1.4162,240633.3,3014293.143
000858.SZ,20200224,129.4,129.4,126.7,127.1,130.0,-2.9,-2.2308,235601.24,3005249.413
000858.SZ,20200221,130.0,131.2,129.02,130.0,130.15,-0.15,-0.1153,207437.51,2695003.477
000858.SZ,20200220,127.0,130.58,126.89,130.15,126.0,4.15,3.2937,334661.6,4332207.305
000858.SZ,20200219,123.78,127.18,122.68,126.0,123.39,2.61,2.1152,316627.76,3976674.952
000858.SZ,20200218,123.8,124.3,123.01,123.39,124.3,-0.91,-0.7321,128727.75,1590249.168
000858.SZ,20200217,123.18,124.3,122.58,124.3,123.43,0.87,0.7049,238169.08,2941280.509
000858.SZ,20200214,124.2,125.88,122.45,123.43,124.14,-0.71,-0.5719,169719.73,2094049.251
000858.SZ,20200213,124.88,126.66,123.37,124.14,124.49,-0.35,-0.2811,178628.84,2230165.01
000858.SZ,20200212,124.5,125.25,122.77,124.49,124.79,-0.3,-0.2404,175113.62,2168783.486
000858.SZ,20200211,121.15,125.5,121.15,124.79,121.13,3.66,3.0215,245773.82,3049430.907
000858.SZ,20200210,119.5,122.33,118.58,121.13,120.58,0.55,0.4561,221876.5,2682789.606
000858.SZ,20200207,119.25,120.93,117.61,120.58,119.15,1.43,1.2002,280116.95,3346691.769
000858.SZ,20200206,119.0,119.94,116.6,119.15,117.51,1.64,1.3956,306551.05,3619248.778
000858.SZ,20200205,115.9,119.8,114.1,117.51,114.5,3.01,2.6288,388783.39,4546389.35
000858.SZ,20200204,109.0,120.0,109.0,114.5,113.54,0.96,0.8455,710214.26,8017646.168
000858.SZ,20200203,113.54,113.54,113.54,113.54,126.16,-12.62,-10.0032,167639.0,1903373.206
000858.SZ,20200123,131.77,131.77,125.0,126.16,131.7,-5.54,-4.2065,415936.68,5294268.764
000858.SZ,20200122,130.99,132.67,129.76,131.7,132.62,-0.92,-0.6937,257530.51,3375415.201
000858.SZ,20200121,136.5,136.5,132.01,132.62,137.56,-4.94,-3.5912,293073.08,3903226.854
000858.SZ,20200120,140.55,140.66,136.8,137.56,138.55,-0.99,-0.7145,167537.69,2308928.098
000858.SZ,20200117,141.26,141.8,138.3,138.55,140.66,-2.11,-1.5001,148478.14,2068064.059
000858.SZ,20200116,140.8,142.0,139.3,140.66,140.8,-0.14,-0.0994,145359.88,2046672.621
000858.SZ,20200115,138.56,142.81,138.55,140.8,138.56,2.24,1.6166,234789.04,3309331.109
000858.SZ,20200114,140.1,140.68,138.2,138.56,139.66,-1.1,-0.7876,199073.17,2767444.878
000858.SZ,20200113,134.26,140.0,134.25,139.66,133.62,6.04,4.5203,496041.94,6847185.988
000858.SZ,20200110,130.5,134.05,130.5,133.62,130.77,2.85,2.1794,429695.42,5712380.855
000858.SZ,20200109,129.0,131.2,128.25,130.77,128.89,1.88,1.4586,255490.57,3317934.212
000858.SZ,20200108,128.99,129.76,128.05,128.89,129.37,-0.48,-0.371,161802.18,2083242.871
000858.SZ,20200107,129.5,131.07,129.0,129.37,129.2,0.17,0.1316,223277.93,2901574.233
000858.SZ,20200106,130.0,130.25,128.52,129.2,130.55,-1.35,-1.0341,259369.79,3353682.073
000858.SZ,20200103,131.6,132.07,129.61,130.55,132.08,-1.53,-1.1584,204692.48,2672531.47
000858.SZ,20200102,132.0,133.5,129.59,132.08,133.01,-0.93,-0.6992,306674.39,4038536.854
